ticker,score_RandomForest,score_GradientBoosting,alpha_score,rank
NVDA,0.05619702322940473,0.12258497144541536,0.08939099733741004,1
MSFT,0.03749781839847597,0.10167679923616825,0.06958730881732211,2
XOM,0.05127395882284122,0.07800352887898845,0.06463874385091484,3
MS,0.030271808623680205,0.058431649584622956,0.04435172910415158,4
GS,0.03127014425284249,0.05694928600877391,0.0441097151308082,5
C,0.03127014425284249,0.0529612807004248,0.04211571247663365,6
GOOGL,0.031395888287075305,0.04585845609425847,0.038627172190666886,7
AMZN,0.023760300070595885,0.04892440900953046,0.036342354540063175,8
BLK,0.023760300070595885,0.03729749096902136,0.03052889551980862,9
BAC,0.018653163101199896,0.029651534706479254,0.024152348903839577,10
JPM,0.016506635289570856,0.03026822901299662,0.023387432151283735,11
AAPL,0.01460932742891283,0.01890144624291181,0.016755386835912323,12
