feature,importance
qqq_vol_20d,0.260812997662273
beta_60d,0.14169526404501898
ma_cross_50_200,0.11094798076729946
mom_60d,0.10849613949091552
vol_60d,0.1052261495675116
qqq_mom_20d,0.06098317108271245
price_to_ma_5d,0.03712250762415746
ma_cross_20_50,0.031057248808162127
vol_20d,0.026632682224741033
ma_cross_5_20,0.025768286806861898
price_to_ma_200d,0.023644940365436733
vol_10d,0.014464061259755051
price_to_ma_20d,0.011337615266927913
rsi_14,0.008299835739685627
bb_position,0.0076366039743180816
mom_20d,0.006783306150349016
price_to_ma_50d,0.0065521833130119155
mom_10d,0.004655167748942946
daily_return,0.003709411941396872
mom_5d,0.0025900595181356833
abs_return,0.0008527446769592656
excess_return,0.0007316419654273672
