signal,mean_ic,icir,pct_positive_ic,n_periods,gross_return_total,net_return_total,gross_sharpe,net_sharpe,max_drawdown,avg_turnover,hit_rate,annualized_return,calmar
pred_final_ens_lstm_smooth,0.12673806380100086,0.39819213251119207,0.6317016317016317,429,0.37133552494265,0.3050096779747815,0.8343848296942105,0.7222235485825136,-0.1371905468496369,1.1363636363636365,0.6363636363636364,0.17035389686950198,1.2417320346146927
lstm_pred,0.09312598823088336,0.2742998977006751,0.6083916083916084,429,0.3011873991587388,0.2532346731715003,0.722185124406989,0.6374550257803263,-0.17932943534867757,0.8636363636363636,0.5454545454545454,0.1426895021008039,0.7956836635512003
pred_final_ens_lstm,0.1284007367923452,0.406789208618169,0.6480186480186481,429,0.3189015987354358,0.25910550739200655,0.7397463680855596,0.6368789236460133,-0.15422481204647032,1.0681818181818181,0.5454545454545454,0.14584960261453417,0.9456947989055576
pred_dynamic_ens_lstm,0.13612727598741586,0.44213551782766564,0.6596736596736597,429,0.2918975737595806,0.23579182495546047,0.7433709856295064,0.63489880007452,-0.15422481204647026,1.0227272727272727,0.5909090909090909,0.13326460363004977,0.8640931498745814
pred_Ensemble,0.10474839845469217,0.3459341070272033,0.627039627039627,429,0.29221238795748383,0.23617886889965356,0.7237718915018987,0.6198328627013999,-0.14758732477083922,1.0227272727272727,0.5454545454545454,0.1334743232855693,0.90437524694493
pred_final_gb_lstm_smooth,0.1444569416597389,0.4736502948570511,0.6596736596736597,429,0.3189480234658111,0.25894215402389475,0.7173680969671735,0.6193620148789002,-0.12011878757433427,1.0681818181818181,0.6363636363636364,0.14576175584703988,1.2134800790995057
pred_RandomForest,0.07496081469688608,0.21938231847074172,0.5897435897435898,429,0.2362040949107611,0.18904591454505004,0.5921452176961468,0.5057925579345237,-0.20373414358924957,0.8863636363636364,0.5,0.10773416662444024,0.5287977985744214
pred_dynamic_gb_lstm,0.1477333854956233,0.49764868885571883,0.6923076923076923,429,0.24708215093885766,0.18945188678978475,0.5794339229870549,0.48701091699996407,-0.1404447453975345,1.0909090909090908,0.6363636363636364,0.10795763888102616,0.7686840726966875
pred_final_gb_lstm,0.1485973234224983,0.4875873013434666,0.6783216783216783,429,0.17426091218067263,0.12211236159283145,0.4721587691960349,0.3776935678834504,-0.14194598337418737,1.0454545454545454,0.5909090909090909,0.07045134495208871,0.49632503349087487
pred_GradientBoosting,0.12524679119146256,0.42558585669667975,0.6526806526806527,429,0.15656809654840043,0.10506760688020744,0.4414326944234613,0.34639958964519013,-0.1522911985081069,1.0454545454545454,0.5909090909090909,0.06081307759643351,0.39932102572031597
