signal,mean_ic,icir,pct_positive_ic,n_periods,gross_return_total,net_return_total,gross_sharpe,net_sharpe,max_drawdown,avg_turnover,hit_rate,annualized_return,calmar,ic_rank,sharpe_rank,drawdown_rank,turnover_rank,ic_minus_sharpe_rank
pred_final_gb_lstm,0.1485973234224983,0.4875873013434666,0.6783216783216783,429,0.1742609121806726,0.1221123615928314,0.4721587691960349,0.3776935678834504,-0.1419459833741873,1.0454545454545454,0.5909090909090909,0.0704513449520887,0.4963250334908748,1.0,9.0,4.0,5.5,8.0
pred_dynamic_gb_lstm,0.1477333854956233,0.4976486888557188,0.6923076923076923,429,0.2470821509388576,0.1894518867897847,0.5794339229870549,0.487010916999964,-0.1404447453975345,1.0909090909090908,0.6363636363636364,0.1079576388810261,0.7686840726966875,2.0,8.0,3.0,9.0,6.0
pred_final_gb_lstm_smooth,0.1444569416597389,0.4736502948570511,0.6596736596736597,429,0.3189480234658111,0.2589421540238947,0.7173680969671735,0.6193620148789002,-0.1201187875743342,1.068181818181818,0.6363636363636364,0.1457617558470398,1.2134800790995055,3.0,6.0,1.0,7.5,3.0
pred_dynamic_ens_lstm,0.1361272759874158,0.4421355178276656,0.6596736596736597,429,0.2918975737595806,0.2357918249554604,0.7433709856295064,0.63489880007452,-0.1542248120464702,1.0227272727272727,0.5909090909090909,0.1332646036300497,0.8640931498745814,4.0,4.0,7.0,3.5,0.0
pred_final_ens_lstm,0.1284007367923452,0.406789208618169,0.6480186480186481,429,0.3189015987354358,0.2591055073920065,0.7397463680855596,0.6368789236460133,-0.1542248120464703,1.068181818181818,0.5454545454545454,0.1458496026145341,0.9456947989055576,5.0,3.0,8.0,7.5,-2.0
pred_final_ens_lstm_smooth,0.1267380638010008,0.398192132511192,0.6317016317016317,429,0.37133552494265,0.3050096779747815,0.8343848296942105,0.7222235485825136,-0.1371905468496369,1.1363636363636365,0.6363636363636364,0.1703538968695019,1.2417320346146927,6.0,1.0,2.0,10.0,-5.0
pred_GradientBoosting,0.1252467911914625,0.4255858566966797,0.6526806526806527,429,0.1565680965484004,0.1050676068802074,0.4414326944234613,0.3463995896451901,-0.1522911985081069,1.0454545454545454,0.5909090909090909,0.0608130775964335,0.3993210257203159,7.0,10.0,6.0,5.5,3.0
pred_Ensemble,0.1047483984546921,0.3459341070272033,0.627039627039627,429,0.2922123879574838,0.2361788688996535,0.7237718915018987,0.6198328627013999,-0.1475873247708392,1.0227272727272727,0.5454545454545454,0.1334743232855693,0.90437524694493,8.0,5.0,5.0,3.5,-3.0
lstm_pred,0.0931259882308833,0.2742998977006751,0.6083916083916084,429,0.3011873991587388,0.2532346731715003,0.722185124406989,0.6374550257803263,-0.1793294353486775,0.8636363636363636,0.5454545454545454,0.1426895021008039,0.7956836635512003,9.0,2.0,9.0,1.0,-7.0
pred_RandomForest,0.074960814696886,0.2193823184707417,0.5897435897435898,429,0.2362040949107611,0.18904591454505,0.5921452176961468,0.5057925579345237,-0.2037341435892495,0.8863636363636364,0.5,0.1077341666244402,0.5287977985744214,10.0,7.0,10.0,2.0,-3.0
